pmid,y_true,y_pred,correct
15879722,1,2,0
12607666,1,1,1
17593459,1,2,0
11882828,1,1,1
23588461,1,2,0
26063028,1,1,1
12836106,1,0,0
25228241,1,1,1
10354335,1,1,1
27581329,1,0,0
19058191,1,1,1
25251991,1,1,1
9363529,1,0,0
23337545,1,1,1
23791827,1,1,1
18670651,1,1,1
20156655,1,0,0
15530261,1,1,1
18832500,1,2,0
21865668,1,2,0
17444776,1,1,1
21873082,1,2,0
25156467,1,1,1
17704864,1,2,0
27491658,1,0,0
20338971,1,2,0
11729377,1,1,1
18534072,0,2,0
23774337,0,0,1
27554179,0,0,1
25070942,0,0,1
9347843,0,1,0
17113061,0,1,0
22303473,0,1,0
25336163,0,0,1
18843057,0,0,1
8422202,0,0,1
23719685,0,1,0
16249670,0,1,0
16100194,0,2,0
26485091,0,1,0
21904069,0,0,1
19925761,0,0,1
20363841,0,0,1
22211919,2,2,1
19155657,2,1,0
22706226,2,1,0
11247896,2,0,0
24160268,2,1,0
12626177,2,2,1
18251357,1,1,1
17606778,1,1,1
19504993,1,2,0
19931500,1,1,1
23222920,1,1,1
19327500,1,1,1
9792366,1,1,1
14976655,1,0,0
11799314,1,1,1
17276801,1,1,1
23348330,1,0,0
18607272,1,1,1
25446909,1,1,1
14745753,1,0,0
15125825,1,0,0
17062225,1,1,1
16432652,1,1,1
23506394,1,1,1
2503176,1,1,1
26818046,1,1,1
23264436,1,2,0
17244100,1,1,1
19156007,1,0,0
19409117,1,1,1
20073599,1,1,1
15223725,1,0,0
23831910,1,1,1
11713724,0,1,0
18619710,0,0,1
23252468,0,2,0
9645785,0,0,1
28027677,0,1,0
12238307,0,0,1
24851767,0,1,0
19575307,0,0,1
24939676,0,1,0
26717802,0,1,0
25981682,0,0,1
16155169,0,1,0
14655021,0,1,0
15280782,0,1,0
20337874,0,0,1
12095973,0,1,0
23414523,0,1,0
9140335,2,1,0
10605400,2,0,0
10340286,2,0,0
25480629,2,0,0
23386371,2,1,0
23360491,2,2,1
18603989,1,1,1
19822586,1,1,1
24374414,1,1,1
18086459,1,0,0
17483607,1,0,0
22449464,1,1,1
23899611,1,1,1
17601244,1,1,1
15475728,1,0,0
20497146,1,1,1
19648304,1,1,1
9278754,1,0,0
17329379,1,0,0
22564465,1,1,1
23072266,1,1,1
27216167,1,1,1
22955530,1,1,1
24098953,1,1,1
21276532,1,1,1
17890090,1,0,0
9550200,1,1,1
27078715,1,1,1
21457946,1,1,1
19401574,1,1,1
25150098,1,1,1
10430303,1,0,0
26418796,1,0,0
20011163,1,1,1
21166749,0,1,0
11500608,0,0,1
28127977,0,1,0
21880023,0,2,0
