pubmed_id,y_true,y_pred,correct
12377809,1,1,1
26163474,1,1,1
19100463,1,1,1
18537964,1,1,1
12913878,1,1,1
12765819,1,1,1
25475395,1,1,1
19130332,1,1,1
9427037,1,1,1
24481006,1,1,1
8165771,1,1,1
22680064,1,1,1
22540518,1,1,1
20629769,1,1,1
21726930,1,1,1
21481154,1,1,1
22902073,1,0,0
26370095,1,1,1
18041059,1,1,1
15041506,1,1,1
11146778,1,1,1
27281318,1,1,1
21645374,1,1,1
9465206,1,1,1
25887165,1,1,1
15995461,1,1,1
21850494,1,1,1
19106867,1,1,1
21342862,1,1,1
24352924,1,1,1
16147837,1,0,0
26879871,1,1,1
15918864,1,0,0
22075911,1,1,1
11035130,1,1,1
21228436,1,1,1
11833948,1,0,0
17682349,1,1,1
17355582,1,1,1
15597845,1,1,1
10158597,1,1,1
27549226,1,1,1
26348845,1,1,1
25588461,1,1,1
23359100,1,1,1
26548832,1,1,1
25756710,1,1,1
20297950,1,0,0
24622801,1,1,1
9722752,1,1,1
20577124,1,0,0
19027440,1,1,1
18239988,1,1,1
27858166,1,1,1
27050489,1,0,0
16266387,1,1,1
27287237,1,1,1
11079675,1,1,1
10331115,1,1,1
18594195,1,1,1
22497340,1,1,1
16769333,1,1,1
20571467,1,0,0
12094116,1,1,1
17276182,1,1,1
26419377,1,1,1
23810330,1,1,1
15151701,1,1,1
23736032,1,1,1
28143468,1,1,1
23495128,1,1,1
12121321,1,1,1
18570208,1,0,0
28707539,1,0,0
22117569,1,1,1
18783922,1,1,1
15528969,1,1,1
19482903,1,1,1
11977907,1,1,1
17306983,1,1,1
24318956,1,1,1
22266735,1,0,0
22453060,1,1,1
10401824,1,0,0
15208005,1,1,1
16713745,1,1,1
21864397,1,0,0
25810292,1,0,0
11943048,1,1,1
23347337,1,1,1
23992109,1,0,0
10922093,1,1,1
26601554,1,1,1
15489384,1,0,0
27818079,1,1,1
24340838,1,1,1
16971978,1,1,1
21689015,1,1,1
12846929,1,0,0
22694248,1,1,1
15488260,1,1,1
23690198,1,1,1
10173769,1,1,1
12098035,1,0,0
23448747,1,1,1
24359102,1,1,1
14697414,1,0,0
15050326,1,0,0
27131771,1,1,1
26923375,1,0,0
15841770,1,1,1
25503376,1,1,1
19394934,1,1,1
22188074,1,1,1
21394762,1,1,1
9582182,1,1,1
28056802,1,1,1
18182265,1,1,1
9142039,1,1,1
20084845,1,1,1
24298614,1,1,1
12145243,1,1,1
21952349,1,0,0
27592038,1,0,0
25481573,1,1,1
20306735,1,1,1
26864326,1,1,1
21123461,1,1,1
12963175,1,1,1
10548670,1,1,1
21848798,1,1,1
25675614,1,1,1
25986020,1,1,1
18472368,1,1,1
26578404,1,1,1
14872327,1,1,1
23412195,1,1,1
24139705,1,1,1
23224030,1,1,1
24013712,1,1,1
15943725,1,1,1
27456836,1,1,1
24671913,1,0,0
22825590,1,1,1
23361217,1,1,1
18307476,1,1,1
22237146,1,0,0
25043083,1,1,1
26561905,1,0,0
23517744,1,1,1
27136599,1,0,0
10749257,1,1,1
17598882,1,1,1
15223779,1,1,1
16776337,1,1,1
23916653,1,1,1
10201555,1,1,1
24751724,1,1,1
8910148,1,1,1
18065862,1,1,1
22617083,1,1,1
25499207,1,1,1
16465002,1,1,1
25940336,1,1,1
24191126,1,0,0
8375607,1,1,1
26965932,1,1,1
22012962,1,1,1
12442934,1,0,0
19430778,1,1,1
20605051,1,1,1
19108857,1,0,0
24516646,1,1,1
25752725,1,1,1
20537205,1,1,1
20602784,1,1,1
22302761,1,1,1
18322741,1,1,1
14692023,1,1,1
22348433,1,1,1
26215326,1,0,0
23539689,1,0,0
9363244,1,0,0
24507422,1,1,1
22350859,1,1,1
19640728,1,0,0
23806388,1,1,1
9920954,1,1,1
8916748,1,1,1
11970923,1,1,1
19302863,1,1,1
22532370,1,1,1
18179827,1,1,1
18399830,1,1,1
12595848,1,1,1
18158048,1,0,0
23848044,1,1,1
11481172,1,1,1
28247485,1,1,1
24977765,1,0,0
14551704,1,1,1
12632437,1,1,1
20850631,1,1,1
17565137,1,1,1
