pubmed_id,y_true,y_pred,correct
21645374,yes,yes,1
9488747,yes,yes,1
17208539,no,yes,0
23831910,yes,yes,1
26037986,maybe,yes,0
26852225,no,yes,0
25432938,yes,yes,1
18847643,no,yes,0
18239988,yes,yes,1
25957366,no,no,1
11729377,yes,yes,1
17096624,yes,yes,1
23806388,yes,yes,1
10966943,no,maybe,0
7482275,no,maybe,0
20084845,yes,yes,1
15703931,no,no,1
18269157,yes,yes,1
25489696,yes,yes,1
22537902,no,maybe,0
16432652,yes,yes,1
19504993,yes,yes,1
20571467,yes,yes,1
24237112,yes,yes,1
20082356,maybe,maybe,1
11340218,no,no,1
25481573,yes,yes,1
25277731,maybe,yes,0
25475395,yes,yes,1
17179167,maybe,maybe,1
27491658,yes,maybe,0
19822586,yes,yes,1
23539689,yes,yes,1
22453060,yes,yes,1
12380309,no,no,1
22186742,no,no,1
18235194,maybe,maybe,1
15597845,yes,yes,1
17489316,maybe,yes,0
14518645,yes,yes,1
20337202,maybe,maybe,1
26449554,yes,no,0
29112560,yes,maybe,0
9381529,yes,yes,1
8985020,yes,yes,1
22427593,maybe,yes,0
19757704,yes,yes,1
27592038,yes,yes,1
27044366,maybe,no,0
17562682,maybe,no,0
14978612,yes,yes,1
18843057,no,maybe,0
9199905,yes,yes,1
23999452,yes,yes,1
22534881,no,no,1
24785562,yes,yes,1
22564465,yes,maybe,0
14697414,yes,yes,1
18565233,yes,yes,1
27184293,maybe,yes,0
25480629,maybe,yes,0
17453263,yes,yes,1
19106867,yes,yes,1
19409117,yes,yes,1
21900017,yes,yes,1
27448572,yes,no,0
17621202,maybe,maybe,1
25987398,maybe,yes,0
25588461,yes,yes,1
22706226,maybe,yes,0
12913878,yes,yes,1
16769333,yes,yes,1
22497340,yes,yes,1
10223070,maybe,yes,0
8566975,no,no,1
25186850,yes,yes,1
9427037,yes,yes,1
11411430,maybe,yes,0
15687156,no,yes,0
21123461,yes,yes,1
27858166,yes,yes,1
17279467,maybe,yes,0
22758782,no,no,1
15223725,yes,yes,1
21946341,no,no,1
19302863,yes,yes,1
24245816,yes,yes,1
19913785,no,no,1
1571683,maybe,yes,0
15631914,no,no,1
