pmid,y_true,y_pred,correct
12377809,yes,yes,1
26163474,yes,yes,1
19100463,yes,yes,1
18537964,yes,yes,1
12913878,yes,yes,1
12765819,yes,yes,1
25475395,yes,yes,1
19130332,yes,yes,1
9427037,yes,yes,1
24481006,yes,yes,1
8165771,yes,yes,1
22680064,yes,yes,1
22540518,yes,yes,1
20629769,yes,yes,1
21726930,yes,yes,1
21481154,yes,yes,1
22902073,yes,yes,1
26370095,yes,no,0
18041059,yes,yes,1
15041506,yes,yes,1
11146778,yes,yes,1
27281318,yes,yes,1
21645374,yes,yes,1
9465206,yes,yes,1
25887165,yes,yes,1
15995461,yes,yes,1
21850494,yes,no,0
19106867,yes,yes,1
21342862,yes,yes,1
24352924,yes,no,0
16147837,yes,yes,1
26879871,yes,yes,1
15918864,yes,yes,1
22075911,yes,yes,1
11035130,yes,yes,1
21228436,yes,yes,1
11833948,yes,yes,1
17682349,yes,yes,1
17355582,yes,yes,1
15597845,yes,yes,1
10158597,yes,yes,1
27549226,yes,yes,1
26348845,yes,no,0
25588461,yes,yes,1
23359100,yes,yes,1
26548832,yes,yes,1
25756710,yes,yes,1
20297950,yes,yes,1
24622801,yes,yes,1
9722752,yes,yes,1
20577124,yes,yes,1
19027440,yes,yes,1
18239988,yes,yes,1
27858166,yes,yes,1
27050489,yes,yes,1
16266387,yes,yes,1
27287237,yes,yes,1
11079675,yes,yes,1
10331115,yes,yes,1
18594195,yes,yes,1
22497340,yes,yes,1
16769333,yes,yes,1
20571467,yes,no,0
12094116,yes,yes,1
17276182,yes,yes,1
26419377,yes,no,0
23810330,yes,yes,1
15151701,yes,yes,1
23736032,yes,yes,1
28143468,yes,yes,1
23495128,yes,yes,1
12121321,yes,yes,1
18570208,yes,yes,1
28707539,yes,yes,1
22117569,yes,yes,1
18783922,yes,yes,1
15528969,yes,yes,1
19482903,yes,yes,1
11977907,yes,yes,1
17306983,yes,yes,1
24318956,yes,yes,1
22266735,yes,yes,1
22453060,yes,yes,1
10401824,yes,yes,1
15208005,yes,yes,1
16713745,yes,yes,1
21864397,yes,yes,1
25810292,yes,yes,1
11943048,yes,yes,1
23347337,yes,yes,1
23992109,yes,yes,1
10922093,yes,yes,1
26601554,yes,yes,1
15489384,yes,yes,1
27818079,yes,yes,1
24340838,yes,yes,1
16971978,yes,yes,1
21689015,yes,yes,1
12846929,yes,yes,1
22694248,yes,yes,1
15488260,yes,yes,1
23690198,yes,yes,1
10173769,yes,yes,1
12098035,yes,yes,1
23448747,yes,yes,1
24359102,yes,yes,1
14697414,yes,yes,1
15050326,yes,yes,1
27131771,yes,yes,1
26923375,yes,yes,1
15841770,yes,yes,1
25503376,yes,yes,1
19394934,yes,yes,1
22188074,yes,yes,1
21394762,yes,yes,1
9582182,yes,yes,1
28056802,yes,yes,1
18182265,yes,yes,1
9142039,yes,yes,1
20084845,yes,yes,1
24298614,yes,yes,1
12145243,yes,yes,1
21952349,yes,yes,1
27592038,yes,yes,1
25481573,yes,yes,1
20306735,yes,yes,1
26864326,yes,yes,1
21123461,yes,yes,1
12963175,yes,yes,1
10548670,yes,yes,1
21848798,yes,yes,1
25675614,yes,yes,1
25986020,yes,yes,1
18472368,yes,yes,1
26578404,yes,yes,1
14872327,yes,yes,1
23412195,yes,yes,1
24139705,yes,yes,1
23224030,yes,yes,1
24013712,yes,yes,1
15943725,yes,yes,1
27456836,yes,yes,1
24671913,yes,yes,1
22825590,yes,yes,1
23361217,yes,yes,1
18307476,yes,yes,1
22237146,yes,yes,1
25043083,yes,yes,1
26561905,yes,no,0
23517744,yes,yes,1
27136599,yes,no,0
10749257,yes,yes,1
17598882,yes,yes,1
15223779,yes,yes,1
16776337,yes,no,0
23916653,yes,yes,1
10201555,yes,yes,1
24751724,yes,yes,1
8910148,yes,yes,1
18065862,yes,yes,1
22617083,yes,yes,1
25499207,yes,yes,1
16465002,yes,yes,1
25940336,yes,yes,1
24191126,yes,yes,1
8375607,yes,yes,1
26965932,yes,yes,1
22012962,yes,yes,1
12442934,yes,yes,1
19430778,yes,yes,1
20605051,yes,yes,1
19108857,yes,yes,1
24516646,yes,yes,1
25752725,yes,yes,1
20537205,yes,no,0
20602784,yes,yes,1
22302761,yes,yes,1
18322741,yes,yes,1
14692023,yes,yes,1
22348433,yes,yes,1
26215326,yes,yes,1
23539689,yes,yes,1
9363244,yes,no,0
24507422,yes,yes,1
22350859,yes,yes,1
19640728,yes,yes,1
23806388,yes,yes,1
9920954,yes,yes,1
8916748,yes,yes,1
11970923,yes,yes,1
19302863,yes,yes,1
22532370,yes,yes,1
18179827,yes,no,0
18399830,yes,yes,1
12595848,yes,yes,1
18158048,yes,no,0
23848044,yes,yes,1
11481172,yes,yes,1
28247485,yes,yes,1
24977765,yes,yes,1
14551704,yes,yes,1
12632437,yes,yes,1
20850631,yes,yes,1
17565137,yes,no,0
9616411,yes,yes,1
22720085,yes,yes,1
21074975,yes,yes,1
